projectNumber	partNumber	sapCode	description	amount						
226	520567640	2230212003.01	520567640 CONJUNTO CINTA E FECHADURA 226***FECHADURA 226***UTE2	36						
226	519613040	2230405009.01	519613040 ISOLAMENTO DO PARALAMA DIR 226***FRONT FENDER 226***UTE2	160						
226	519613050	2230405010.01	519613050 ISOLAMENTO DO PARALAMA ESQ 226***FRONT FENDER 226***UTE2	160						
291	522143040	2230405024.01	522143040 ISOLAMENTO DO PARALAMA DIR 291***FRONT FENDER 291***UTE2	144						
291	522143050	2230405023.01	522143050 ISOLAMENTO DO PARALAMA ESQ 291***FRONT FENDER 291***UTE2	144						
521	519547723	2230403002.01	519547723 ISOLAMENTO DO PARALAMA ESQ 521***FRONT FENDER 521***UTE2	144						
521	519547713	2230403001.01	519547713 ISOLAMENTO DO PARALAMA DIR 521***FRONT FENDER 521***UTE2	144						
226	521433060	2230101009.01	521433060 ISOLAMENTO DO CAP� 226 MCA***HOOD 226***UTE2	80						
291	522141440	2230101012.01	522141440 ISOLAMENTO DO CAP� 291***HOOD 291***UTE2	120						
521	519800050	2230101001.01	519800050 ISOLAMENTO DO CAP� 521***HOOD 521***UTE2	80						
551	533706320	2230101006.01	533706320 ISOL. DO CAP� (Diesel) 551***HOOD 551***UTE2	80						
521	520176583	2230203001.01	520176583 ISOLAMENTO DO PAINEL 4x2 521***INNER 521***UTE2	16						
521	520176593	2230203002.01	520176593 ISOLAMENTO DO PAINEL 4x4 521***INNER 521***UTE2	16						
551	534405120	2230203015.01	534405120 ISOLAMENTO DO PAINEL 4X2 551***INNER 551***UTE2	16						
551	534405130	2230203016.01	534405130 ISOLAMENTO DO PAINEL 4X4 551***INNER 551***UTE2	16						
551	501489500	2230102003.02	501489500 ISOL. V�O MOTOR (Diesel) 551***OUTER 551***UTE2	80						
_	522143000	2230102005.01	52214300 ISOLAMENTO DO VAO DO MOTOR***OUTER ***UTE2	80						
598	534907230	2230213003.02	534907230 - Isolamento sob banco 598***UNDERSEAT 598***UTE2	50						
521	1002672560	2230210025.01	1002672560 REVESTIMENTO TETO FEC 521 NEW***TETO ACABADO 521***UTE3	10						
226F	1002676940	2230210034.01	1002676940 Teto fechado 226 cinza SG MT5***TETO ACABADO 226F***UTE3	10						
226F	1002683960	2230210018.02	1002683960 Teto fechado 226 preto BJ MT5***TETO ACABADO 226F***UTE3	10						
291F	100279520	2230210042.01	100279520 TETO FECH. 291 CINZA C/RECORTE***TETO ACABADO 291F***UTE3	10						
291F	100279522	2230210043.01	100279522 TETO FECH. 291 PRETO C/RECORTE***TETO ACABADO 291F***UTE3	10						
521F	1002680180	2230210031.01	1002680180 REVEST TETO FECH 521 BLACK 80***TETO ACABADO 521F***UTE3	10						
521P	7355992063	2230210002.01	7355992063 REVEST. TETO PANOR�MICO 521***TETO ACABADO 521P***UTE3	10						
521P	1002724870	2230210027.00	1002724870 REVEST. TETO PANOR 521 MCA***TETO ACABADO 521P***UTE3	10						
521P	1002724890	2230210028.00	1002724890 REVES. T. PANO. 521 BLACK MCA***TETO ACABADO 521P***UTE3	10						
551F	609736530	2230210022.01	609736530 REVEST. TETO FECHADO BLACK 551***TETO ACABADO 551F***UTE3	10						
551F	609827540	2230210036.00	609827540 REVEST TETO FECH 551 SEAL G S/***TETO ACABADO 551F***UTE3	10						
551F	609807640	2230210035.00	609807640 REVEST TETO FECH 551 SEAL G S/***TETO ACABADO 551F***UTE3	10						
551P	609836860	2230210038.00	609836860 HEADLINER PANORAM. BLACK 551***TETO ACABADO 551P***UTE3	10						
551P	609827550	2230210037.00	609827550 REVEST TETO PANOR 551 SEAL GRE***TETO ACABADO 551P***UTE3	10						
